国内频道,#genre#
CCTV9,http://112.17.40.140/PLTV/88888888/224/3221226561/index.m3u8#http://39.135.32.29:6610/000000001000/6275371742726901431/1.m3u8?IASHttpSessionId=OTT#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/index.m3u8
CCTV10,http://112.17.40.140/PLTV/88888888/224/3221226472/index.m3u8#http://111.11.123.37:6610/030000001000/CCTV-10/CCTV-10.m3u8?IASHttpSessionId=OTT1894820200108124018000044#http://117.169.120.140:8080/live/cctv-10/.m3u8
CCTV11,http://111.11.123.38:6610/030000001000/CCTV-11/CCTV-11.m3u8?IASHttpSessionId=OTT956820200108124738000031
CCTV12,http://112.17.40.140/PLTV/88888888/224/3221226563/index.m3u8#http://111.11.123.36:6610/030000001000/CCTV-12/CCTV-12.m3u8?IASHttpSessionId=OTT1895120200108125127000076#http://39.135.32.24:6610/000000001000/1000000001000001640/index.m3u8?i=&IASHttpSessionId=OTT1677120200108125038000193
CCTV13,http://140.249.30.41/tlivecloud-cdn.ysp.cctv.cn/ysp/2000204603.m3u8#http://111.11.123.41:6610/030000001000/CCTV-13/CCTV-13.m3u8?IASHttpSessionId=OTT343020200108125239000054#http://118.123.60.9:8114/LIVES/Fsv_otype=1?FvSeid=6132cc3f09487cdd&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=26&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=index.m3u8&Fsv_CMSID=&Fsv_otype=1
CCTV14,http://112.17.40.140/PLTV/88888888/224/3221226565/index.m3u8
CCTV15,http://39.135.34.158:18890/000000001000/1000000002000008163/1.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=005203FF0003#http://112.50.243.8/PLTV/88888888/224/3221225818/1.m3u8
CCTV17,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000169.m3u8#http://117.169.120.98:8080/ysten-businessmobile/live/HD-4000k-1080P-cctv17/1.m3u8
CCTV5+,http://112.17.40.140/PLTV/88888888/224/3221226166/index.m3u8#http://117.169.120.98:8080/ysten-businessmobile/live/HD-8000k-1080P-cctv05plus/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225821/index.m3u8#http://39.135.32.29:6610/000000001000/1000000001000020505/1.m3u8?IASHttpSessionId=OTT
江苏,http://live-temp-litchi-hls-yf.jstv.com/live/zhibo-jswsgq/online.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226567/index.m3u8#http://118.123.60.17:8112/syhjcms_hls/10000100000000050000000000000075#http://39.135.32.29:6610/000000001000/1000000001000004684/1.m3u8?IASHttpSessionId=OTT,http://live-temp-litchi-hls-yf.jstv.com/live/zhibo-jswsgq/online.m3u8
浙江,http://112.17.40.140/PLTV/88888888/224/3221226551/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225825/index.m3u8#http://39.135.32.29:6610/000000001000/1000000001000014260/1.m3u8?IASHttpSessionId=OTT
东方,http://112.17.40.140/PLTV/88888888/224/3221226549/index.m3u8#http://118.123.60.17:8112/syhjcms_hls/10000100000000050000000000000077#http://111.40.205.87/PLTV/88888888/224/3221225700/index.m3u8#http://39.135.32.29:6610/000000001000/1000000001000030202/1.m3u8?IASHttpSessionId=OTT#http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226187/index.m3u8
北京,http://112.17.40.140/PLTV/88888888/224/3221226583/index.m3u8#http://118.123.60.17:8112/syhjcms_hls/10000100000000050000000000000078#http://39.135.32.29:6610/000000001000/1000000001000017156/1.m3u8?IASHttpSessionId=OTT#http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
广东,http://112.17.40.140/PLTV/88888888/224/3221226585/index.m3u8#http://118.123.60.17:8112/syhjcms_hls/10000100000000050000000000000084#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225824/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226167/index.m3u8
深圳,http://112.17.40.140/PLTV/88888888/224/3221226543/index.m3u8#http://118.123.60.17:8112/syhjcms_hls/10000100000000050000000000000079#http://39.135.32.29:6610/000000001000/1000000001000011645/1.m3u8?IASHttpSessionId=OTT#http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226136/index.m3u8
湖南,http://112.17.40.140/PLTV/88888888/224/3221226569/index.m3u8
山东,http://118.123.60.17:8112/syhjcms_hls/10000100000000050000000000000085
天津,http://112.17.40.140/PLTV/88888888/224/3221226488/index.m3u8#http://118.123.60.17:8112/syhjcms_hls/10000100000000050000000000000082#http://39.135.32.29:6610/000000001000/1000000001000003475/1.m3u8?IASHttpSessionId=OTT#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225830/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226135/index.m3u8
湖北,http://112.17.40.140/PLTV/88888888/224/3221226494/index.m3u8#http://118.123.60.17:8112/syhjcms_hls/10000100000000050000000000000083
山东,http://112.17.40.140/PLTV/88888888/224/3221226587/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225843/index.m3u8#http://39.135.32.29:6610/000000001000/1000000001000012807/1.m3u8?IASHttpSessionId=OTT
四川,http://118.123.60.17:8112/syhjcms_hls/10000100000000050000000000000080
黑龙江高清,http://112.17.40.140/PLTV/88888888/224/3221226492/index.m3u8#http://118.123.60.17:8112/syhjcms_hls/10000100000000050000000000000086
辽宁,http://112.17.40.140/PLTV/88888888/224/3221226148/index.m3u8
广西,http://118.123.60.201:8114/LIVES/Fsv_otype=3&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=85&Provider_id=&Pcontent_id=index.m3u8
东南,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226046/index.m3u8#http://39.134.52.153/PLTV/88888888/224/3221225899/index.m3u8#http://118.123.60.201:8114/LIVES/Fsv_otype=3&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=86&Provider_id=&Pcontent_id=index.m3u8
重庆,http://118.123.60.201:8114/LIVES/Fsv_otype=3&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=87&Provider_id=&Pcontent_id=index.m3u8
江西,http://112.17.40.140/PLTV/88888888/224/3221226128/index.m3u8#http://118.123.60.201:8114/LIVES/Fsv_otype=3&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=91&Provider_id=&Pcontent_id=index.m3u8
安徽,http://112.17.40.140/PLTV/88888888/224/3221226490/index.m3u8#http://118.123.60.201:8114/LIVES/Fsv_otype=3&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=93&Provider_id=&Pcontent_id=index.m3u8
黑莓电影,http://112.17.40.140/PLTV/88888888/224/3221226755/index.m3u8
黑莓动画,http://39.134.176.148/PLTV/88888888/224/3221226654/index.m3u8 
杂烩收集,#genre#
寰宇新闻,http://play.ggiptv.com:13164/play.m3u8?token=v4wVdC%2FTdCDohWnsBnWrSrLv&tid=gt&id=54
TVB J2台,http://103.56.112.40/ddjgt.php?id=12
TVB明珠台,http://103.56.112.40/ddjgt.php?id=13
TVB翡翠台,http://103.56.112.40/ddjgt.php?id=1
TVB新聞台,http://103.56.112.40/ddjgt.php?id=9
TVB財經台,http://103.56.112.40/ddjgt.php?id=10
凤凰资讯,http://liveali.ifeng.com/live/FHZX.m3u8
民视,http://play.ggiptv.com:13164/play.m3u8?token=djVYu9Z7TOHDP2b8n719FRYI&tid=gt&id=75
华视,http://hls.ws.anyrtc.io/live/de320944cbf948143eaf7f6a230b8fcce/playlist.m3u8?
中视,http://play.ggiptv.com:13164/play.m3u8?token=cEPtMjD2C8G3WeF5dId9sgA1&tid=gt&id=73
台视,http://play.ggiptv.com:13164/play.m3u8?token=0enUBYSqG0H%2B8DO1j1h5Mx%2Bk&tid=gt&id=74
三立台湾,http://hls.ws.anyrtc.io/live/81aa3d778b7349b38cd7a1643c050a8f/playlist.m3u8?
TVBS新闻,http://hls.ws.anyrtc.io/live/d480bec45403413d8a7db7fe3865d40c/playlist.m3u8?
东森新闻,http://hls.ws.anyrtc.io/live/0a2e071e88309be274e39da3b237fe0b/playlist.m3u8?
八大综合,http://192.200.120.82:8080/ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8
fashion tv,http://fash1043.cloudycdn.services/slive/_definst_/ftv_ftv_midnite_k1y_27049_midnite_secr_108_hls.smil/chunklist_b1400000_t64NDgwcA==.m3u8
CCTV4K,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8
CCTV1,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV2,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV3,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV4,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV5,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV5+,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV6,http://39.134.65.162/PLTV/88888888/224/3221225687/index.m3u8
CCTV7,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV8,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV9,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV13,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV15,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV17,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
湖南,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8
江苏,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8
浙江,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000295503.m3u8
东方,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8
北京,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8
深圳,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000292203.m3u8
广东,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8
安徽,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8
东南,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000292503.m3u8
河北,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000293403.m3u8
湖北,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000294503.m3u8
江西,http://httpdvb.slave.bfgd.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5E47D2D9U319AC04BKB37A3A36IA48D02BEP8M340BFA5V0Z334B7W15F38F3185E93DEB&playtoken=ABCDEFGHI&auth=no&rate=sd&programid=4200000499.m3u8#http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5E4CCD88U309CD010K77818CCAI9840202DPBM3233C4EV1044EZ33519WE63981C9084&playtoken=ABCDEFGHI&programid=4200000255.m3u8
辽宁,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000281303.m3u8
山东,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000294803.m3u8
天津,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5E4CCD88U309CD010K77818CCAI9840202DPBM3233C4EV1044EZ33519WE63981C9084&playtoken=ABCDEFGHI&rate=hd&programid=4200000149.m3u8#http://httpdvb.slave.bfgd.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5E47D2D9U319AC04BKB37A3A36IA48D02BEP8M340BFA5V0Z334B7W15F38F3185E93DEB&playtoken=ABCDEFGHI&auth=no&rate=sd&programid=4200000096.m3u8
广西,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8
河南,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000296103.m3u8
黑龙江,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8
广东体育,http://play.ggiptv.com:13164/play.m3u8?token=hyTOJxH%2B%2FFUcnlBArSf0lPUT&tid=ty&id=6
新视觉,http://112.29.151.141/azure-live.bestvcdn.com.cn/live/program/live/xsjhd/1300000/mnf.m3u8
港台频道,#genre#
﻿无线新闻,P2p://lino.homeunix.com:6007/5a562bec0007bfd761a2998e00b83dd5.ts
无线新闻,P2p://lino.homeunix.com:6007/5ad32bdc000b780449ee52022e841cf7.ts
翡翠台,P2p://lino.homeunix.com:6007/5ad32c0d0000bbd049ef0eab717740e2.ts
翡翠台,P2p://sdgdklwos.finetv.tv:9906/5a562a0b000d7041619b441d562d5ee8.ts
J2台,P2p://lino.homeunix.com:6007/59fd25e80008aaec02a88fc1476f2edf.ts
J2台,P2p://lino.homeunix.com:6007/5ad32b7d000cca4049ecdf4812f47470.ts
无线财经资讯台,P2p://lino.homeunix.com:6007/59fd314f000be93d02d51ae40a3a24e8.ts
无线财经资讯台J5台,P2p://lino.homeunix.com:6007/5ad32aed000d8fa649eaacf716d70340.ts
明珠台,P2p://lino.homeunix.com:6007/59fd0d0a0009323a02476cb020fe16f9.ts
明珠台,P2p://lino.homeunix.com:6007/5ad32b590006aefa49ec511272c5262e.ts
星河频道,P2p://lino.homeunix.com:6007/59fd3f91000c54e4030cccd33c6f6c3c.ts
功夫台,P2p://lino.homeunix.com:6007/5a32174e0001f481d4b0ec8f67f06c2b.ts
viu TV,P2p://lino.homeunix.com:6007/59fd171800092000026eb35003107eef.ts
viu TV,P2p://lino.homeunix.com:6007/5ad32bae0001dd1049ed9be114c818f0.ts
viu 6,P2p://lino.homeunix.com:6007/5b389c92000621bc35b08cbd438b4298.ts
港视31,P2p://lino.homeunix.com:6007/5b1ea0dc000bba59d03063fa2f1a513c.ts
港视32,P2p://lino.homeunix.com:6007/5b1ea120000af380d0316d6b59657817.ts
港视31,P2p://lino.homeunix.com:6007/5b1ea0dc000bba59d03063fa2f1a513c.ts
港视32,P2p://lino.homeunix.com:6007/5b1ea120000af380d0316d6b59657817.ts
天映频道,P2p://lino.homeunix.com:6007/5b2f1ee9000d3e3d109cc71f4b240eb3.ts
天映经典,P2p://lino.homeunix.com:6007/5b2e01c400098d0f0c42edad22c37385.ts
全佳,P2p://lino.homeunix.com:6007/5b2c7b9d000cafb7064ee62073b5429d.ts
小太阳,P2p://lino.homeunix.com:6007/5b2c879d000424bd067dc3ee45d96446.ts
欢喜台,P2p://lino.homeunix.com:6007/5b2c86ff000b8df6067b5ca240b93635.ts
双星,P2p://lino.homeunix.com:6007/5b2f26bb000f257c10bb53ec280e5f3f.ts
AEC,P2p://lino.homeunix.com:6007/5b2c873100007ef4067c1d2352642785.ts
AOD,P2p://lino.homeunix.com:6007/5b2c8894000eb34506818b752bbe53c4.ts
Discovery科学频道,P2p://lino.homeunix.com:6007/59fd166e000c7533026c1c1b4bf23d6b.ts
Discovery动力频道,P2p://lino.homeunix.com:6007/59fd2846000cb99902b1cffa3bb33abb.ts
国家地理People,P2p://lino.homeunix.com:6007/59fd2804000a86bb02b0cd8e6fa14a15.ts
Discovery Asia,P2p://lino.homeunix.com:6007/59fd15f7000e7852026a4bd030284bc8.ts
Discovery,P2p://lino.homeunix.com:6007/59fcf587000c4fc201eb95c324ea0953.ts
地理野生频道,P2p://lino.homeunix.com:6007/59fd082b000c6ca7023466633fed4c93.ts
澳门莲花卫视,P2p://lino.homeunix.com:6007/5acb8740000253a62c1307843e7c4bc3.ts
TVBS新闻台,P2p://lino.homeunix.com:6007/59fd096d0003aa9702394e013b6206a2.ts
三立新闻,P2p://lino.homeunix.com:6007/59fd08fd000707490237995b3c9f2775.ts
壹电视新闻,P2p://lino.homeunix.com:6007/59fd08ad000509c00236604f613b08e7.ts
非凡新闻,P2p://lino.homeunix.com:6007/59fd05f30007004f022bba4b77671d93.ts
年代新闻,P2p://lino.homeunix.com:6007/5a56230e0004af51617ff5935a3e292e.ts
民视新闻台,P2p://lino.homeunix.com:6007/59fd05930008403b022a439a3b9b7401.ts
东森新闻,P2p://lino.homeunix.com:6007/5a1427ee0009fb195fc1064a3af652d1.ts
东森财经新闻,P2p://lino.homeunix.com:6007/59fd1f94000ee56d028fd937397b7e63.ts
寰宇新闻频道,P2p://lino.homeunix.com:6007/59fd2b5e0006d13802bde4340bc41e87.ts
寰宇新闻二台,P2p://lino.homeunix.com:6007/5a142744000f25045fbe6f82276e0d88.ts
台视新闻台,P2p://lino.homeunix.com:6007/59fd299b00054a3002b7020e67d657e3.ts
中视新闻台,P2p://lino.homeunix.com:6007/59fd2282000219b8029b479b6fc21d86.ts
中天新闻,P2p://lino.homeunix.com:6007/59fd05020006070602280c953c2545e6.ts
国兴卫视,P2p://lino.homeunix.com:6007/59fd0565000d04390229912232d21634.ts
东森幼幼,P2p://lino.homeunix.com:6007/5a32188e00095e2bd4b5d0737fe325f5.ts
风云足球,P2p://lino.homeunix.com:6007/59fd0bbb000185ff02424e24243823ca.ts
travel,P2p://lino.homeunix.com:6007/59fd0b9100084afb0241abca38654efa.ts
CINEMAX,P2p://lino.homeunix.com:6007/59fd0b0b00042603023f9f5023951856.ts
fashiontv,P2p://lino.homeunix.com:6007/59fd0add000221eb023eeb130f1c4195.ts
NHK WORLD,P2p://lino.homeunix.com:6007/59fd0a09000c3214023bb18461b51f7a.ts
JET 综合&年代MUCH,P2p://lino.homeunix.com:6007/59fd054a00006c030229246e6fa27a75.ts
中天亚洲台,P2p://lino.homeunix.com:6007/59fd05260002b0730228985b2c380c8a.ts
Baby TV 英语,P2p://lino.homeunix.com:6007/59fd088b000b59000235dd256d3d4ad5.ts
星卫电影台,P2p://lino.homeunix.com:6007/59fd086a00072cbb02355b236c4a3fcb.ts
美亚电影台,P2p://lino.homeunix.com:6007/59fd08470008d4d60234d2d92e65644c.ts
东森电影,P2p://lino.homeunix.com:6007/59fd0cab0008230a0245f94a229777bd.ts
卫视电影台,P2p://lino.homeunix.com:6007/59fd0369000ea5750221d12f32a532b8.ts
CHC 动作电影,P2p://lino.homeunix.com:6007/59fd25c800060e1102a812154e343f18.ts
CHC 家庭影院,P2p://lino.homeunix.com:6007/59fd25b000031edb02a7b38a6a5d0696.ts
CHC 高清电影,P2p://lino.homeunix.com:6007/59fd0b3f0002084d024069e339cc1997.ts
好莱坞电影,P2p://lino.homeunix.com:6007/5a141b66000b4be65f90135822b40e43.ts
靖洋戏剧台,P2p://lino.homeunix.com:6007/59fd259600089bb202a74f6123416e8d.ts
亚洲旅游台,P2p://lino.homeunix.com:6007/59fd0809000909e90233e0b820d34ea5.ts
ELTA体育1,P2p://lino.homeunix.com:6007/59fd07ba000a4d260232ac6f507c5a84.ts
龙华洋片,P2p://lino.homeunix.com:6007/59fd07650001a79102315e34781149f3.ts
博斯高球Ⅱ,P2p://lino.homeunix.com:6007/59fd073b0000c2280230b9e6743b0ab3.ts
美食星球,P2p://lino.homeunix.com:6007/59fd07190004a07d0230361f798d3b15.ts
壹电视综合,P2p://lino.homeunix.com:6007/59fd06f600087a21022fae61787f061c.ts
中视经典,P2p://lino.homeunix.com:6007/59fd09bd0002ab6d023a86337415321a.ts
中视,P2p://lino.homeunix.com:6007/59fd06ac000555a7022e8c862ebc1019.ts
台视,P2p://lino.homeunix.com:6007/59fd099c00008ebf023a04ce64d57ff4.ts
华视,P2p://lino.homeunix.com:6007/59fd068a0005f99e022e07d55c2f581d.ts
华视教育文化,P2p://lino.homeunix.com:6007/59fd23240005c9a4029dc1561885012e.ts
民视,P2p://lino.homeunix.com:6007/59fd230300046dc8029d402053e02fbf.ts
民视台湾台,P2p://lino.homeunix.com:6007/59fd0670000decc5022da459628c3d1a.ts
公视,P2p://lino.homeunix.com:6007/59fd0656000e66cd022d3ee840ad175d.ts
公视3,P2p://lino.homeunix.com:6007/5ac5da01000d09fc15e6046427920804.ts
中天综合,P2p://lino.homeunix.com:6007/59fd04bc00059d610226fb164a845fa5.ts
中天娱乐,P2p://lino.homeunix.com:6007/59fd049e0006fb6e0226863427c16955.ts
卫视中文台,P2p://lino.homeunix.com:6007/59fd0394000660a0022277050be47b46.ts
八大第一台,P2p://lino.homeunix.com:6007/59fd22540006fb57029a95244a947e57.ts
八大综合,P2p://lino.homeunix.com:6007/59fd22220005cbed0299d18627a207f7.ts
八大戏剧,P2p://lino.homeunix.com:6007/59fd21c7000edfe70298706f2ef217c7.ts
TVBS欢乐台,P2p://lino.homeunix.com:6007/59fd20ae000635720294248563346fd6.ts
纬来日本.,P2p://lino.homeunix.com:6007/5bc8a92100047ccf6299e01b2aac4b86.ts
纬来体育.,P2p://lino.homeunix.com:6007/5a141bab0009ca9c5f91208265721808.ts
纬来戏剧,P2p://lino.homeunix.com:6007/59fd20190002fb090291ddb256d73759.ts
纬来育乐,P2p://lino.homeunix.com:6007/59fd26ad000978f002ab917848d22993.ts
纬来精彩,P2p://lino.homeunix.com:6007/5ac5d68600012bae15d868ee776c7fe2.ts
东森戏剧,P2p://lino.homeunix.com:6007/59fd17a500022c250270d8533c186ce9.ts
东森洋片,P2p://lino.homeunix.com:6007/59fd17860002b83302705f6a03a560d2.ts
东森综合,P2p://lino.homeunix.com:6007/5a141ade0007bc435f8dff2d5b3453d7.ts
Disney 迪士尼,P2p://lino.homeunix.com:6007/59fd1766000a51cc026fe44f425c5788.ts
大爱一台,P2p://lino.homeunix.com:6007/59fd173e0004273a026f46886dde4613.ts
History,P2p://lino.homeunix.com:6007/59fd16f900060059026e396d395f3348.ts
CNN 美国有线电视新闻网,P2p://lino.homeunix.com:6007/59fd16db000b5f05026dc5a57b516fdb.ts
BBC,P2p://lino.homeunix.com:6007/59fd16bc000f2550026d4d870b85516d.ts
采昌影剧台,P2p://lino.homeunix.com:6007/59fd15cc000cd7cc0269a36a466420ca.ts
OUTDOOR,P2p://lino.homeunix.com:6007/59fd15a600029d6902690c5b552d077d.ts
HBO Family 温馨家庭,P2p://lino.homeunix.com:6007/59fd152900015243026723c45811069b.ts
HBO Hits 强档巨献,P2p://lino.homeunix.com:6007/59fd22e50004a1f8029ccaff41480126.ts
FOX ,P2p://lino.homeunix.com:6007/59fd14cf000321f60265c4a24ca93407.ts
FOX CRIME,P2p://lino.homeunix.com:6007/59fd14ae0007a794026544e32f606291.ts
FOX 优质影院,P2p://lino.homeunix.com:6007/59fd246a0009125502a2bba01b0f4bf5.ts
FOX 家庭影院,P2p://lino.homeunix.com:6007/59fd229f000615aa029bb9ed79916213.ts
FOX SPORTS 3,P2p://lino.homeunix.com:6007/59fd0ab7000ca0d6023e595351427583.ts
卫视西片,P2p://lino.homeunix.com:6007/59fd1475000301e1026465123e2e3650.ts
CHANNEL NEWSASIA,P2p://lino.homeunix.com:6007/5a56d833000e41286443908c2a501e55.ts
Bloomberg,P2p://lino.homeunix.com:6007/59fd143600049ec602636f67016a7ce1.ts
卫视合家欢,P2p://lino.homeunix.com:6007/59fd14190000e1040262fd2560d91f69.ts
CNBC,P2p://lino.homeunix.com:6007/59fd13fa000e6ccb026287884cf4343a.ts
ALJAZEERA,P2p://lino.homeunix.com:6007/5acb89f900027bd72c1daa3b4a4268c8.ts
DW-TV,P2p://lino.homeunix.com:6007/59fd139d000070db026118a63259113d.ts
TV5,P2p://lino.homeunix.com:6007/59fd1365000b6205026040b545ac325b.ts
靖天日本,P2p://lino.homeunix.com:6007/59fd2893000bff8802b2fc847a9852a6.ts
亚洲美食,P2p://lino.homeunix.com:6007/59fd27e40007382002b04fb323e85206.ts
EYETV旅游,P2p://lino.homeunix.com:6007/59fd27c4000cb3b102afd41b5cc4003d.ts
FX 福克斯影视,P2p://lino.homeunix.com:6007/59fd279b000c06e702af33d47d4c770a.ts
三立都会台,P2p://lino.homeunix.com:6007/59fd20f5000e6b4602953c0079210fd1.ts
三立戏剧台,P2p://lino.homeunix.com:6007/59fd274c0001400d02adfc6d23452c25.ts
三立综合台,P2p://lino.homeunix.com:6007/59fd27240003732f02ad60c95d8e10a7.ts
三立台湾.,P2p://lino.homeunix.com:6007/5a1425f00009bfad5fb93e0a6f7070c4.ts
CatchPlay,P2p://lino.homeunix.com:6007/59fd26e9000849d802ac7b8a43f34f6a.ts
ELTA综合,P2p://lino.homeunix.com:6007/59fd26ca00086abe02ac0272796720c5.ts
FRANCE 24（English）,P2p://lino.homeunix.com:6007/59fd268900088bbe02ab049910f0530f.ts
龙华动画,P2p://lino.homeunix.com:6007/59fd26690002a01402aa86134bf26468.ts
动物星球,P2p://lino.homeunix.com:6007/59fd254500042de102a611e03cd83fa7.ts
CN 卡通,P2p://lino.homeunix.com:6007/59fd24f00005da6c02a4c6456cf31e13.ts
MOMO亲子台,P2p://lino.homeunix.com:6007/5a3b9d400006e7bcf9e47334508c3038.ts
